Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
PNW,S&P 500,8.59B,483.60M,4.32B,53.39,0.04,3.46,4.49%,82,Yes,Yes,3.10,18.08,16.55,-,1.99,1.44,1789.56,-,0.70,1.00,1.34,1.28,4.81%,4.26,4.66,0.11,-23.30%,13.72%,-3.96%,-2.30%,3.90%,26.30%,-166.70%,Feb 27 BMO,3.99%,0.10%,-2.75%,90.70%,-0.18%,2.10%,8.00%,4.40%,-,16.90%,11.20%,79.90%,6.54%,113.30M,112.50M,1.36% / 1.60,1.53M,73.64,59.03 - 80.60,-3.23%,32.14%,64.04,0.52,952.44K,"261,983",3.63%,4.04%,-0.08%,1.69%,5.95%,2.58%,0.44,1.59,2.56% 2.12%,77.06,78.00,1.22%
POOL,S&P 500,13.61B,744.30M,6.18B,31.80,1.19,4.00,1.12%,6000,Yes,Yes,2.60,19.01,19.80,2.61,2.20,11.21,298.39,46.81,0.60,3.00,1.12,1.10,-3.21%,18.76,18.01,3.34,16.30%,10.08%,7.28%,34.60%,17.30%,5.80%,-32.80%,Feb 16 BMO,-0.32%,0.20%,0.00%,-,0.41%,19.70%,61.60%,30.10%,31.30%,16.60%,12.00%,20.10%,1.67%,38.84M,37.84M,9.60% / 8.14,3.63M,394.33,278.10 - 488.75,-27.63%,27.19%,44.71,0.30,446.19K,"70,483",0.26%,-9.73%,11.24%,2.37%,-19.06%,17.00%,0.95,10.69,2.23% 2.83%,356.57,353.72,-0.80%
PPG,S&P 500,30.27B,1.03B,17.65B,27.96,5.00,2.48,1.89%,52000,Yes,Yes,2.50,30.26,16.88,2.64,1.71,4.69,26.23,-,1.00,1.50,1.03,0.99,-0.96%,4.34,7.77,1.18,-27.00%,18.37%,11.46%,-5.80%,3.70%,-0.10%,-10.00%,Jan 19 AMC,-0.17%,0.27%,-11.76%,82.50%,0.18%,4.80%,16.40%,8.30%,37.10%,8.10%,5.80%,55.70%,4.16%,235.80M,234.40M,0.79% / 1.41,1.84M,139.29,107.06 - 138.10,-6.34%,20.81%,47.02,0.35,1.30M,"239,172",-4.08%,-1.47%,-2.04%,1.17%,9.85%,2.86%,1.17,3.24,2.44% 2.38%,131.21,129.34,-1.43%
PPL,S&P 500,19.69B,714.00M,7.90B,18.90,0.49,0.96,3.56%,6527,Yes,Yes,2.10,27.86,15.79,1.62,2.49,1.43,55.32,-,0.60,0.70,1.02,0.93,-2.93%,0.97,1.71,0.46,12.80%,7.68%,17.21%,-14.40%,1.20%,54.20%,5.30%,Feb 17 BMO,-6.57%,0.05%,-11.92%,72.80%,2.06%,2.10%,5.40%,4.20%,78.70%,17.40%,9.60%,103.70%,-4.45%,736.37M,735.50M,1.18% / 1.64,8.70M,31.72,23.47 - 31.74,-14.89%,15.13%,37.20,0.69,5.29M,"1,923,228",-0.39%,-6.03%,-7.80%,-8.70%,2.76%,-7.55%,0.79,0.57,1.81% 1.90%,27.00,27.01,0.06%
PRU,S&P 500,34.30B,-1463.00M,60.05B,44.18,47.65,5.00,5.28%,39854,Yes,Yes,3.20,-,7.30,-,0.57,2.14,1.99,10.27,-,-,1.30,1.25,-8.71%,-3.94,12.97,3.02,-120.10%,5.59%,4.07%,-18.60%,0.00%,-18.80%,-149.00%,Feb 07 AMC,-8.95%,0.13%,-6.79%,59.90%,-0.89%,-0.20%,-5.60%,-3.80%,-,-3.00%,-2.40%,-,-7.77%,367.80M,365.52M,2.04% / 4.56,7.45M,102.85,85.46 - 122.54,-25.28%,7.14%,26.05,0.91,1.63M,"786,178",-6.58%,-10.93%,-11.36%,-4.41%,-11.71%,-7.94%,1.41,2.28,2.23% 2.17%,94.73,91.56,-3.35%
PSA,S&P 500,52.26B,4.14B,4.18B,32.64,4.46,12.00,3.99%,5900,Yes,Yes,2.00,12.81,24.17,0.75,12.50,9.22,67.40,-,-,-,1.20,1.20,0.99%,23.49,12.45,2.60,138.10%,8.70%,17.00%,28.40%,9.40%,17.80%,-35.00%,Feb 21 AMC,2.80%,8.20%,0.02%,81.10%,0.62%,23.50%,74.10%,33.80%,74.80%,-,99.00%,33.80%,-0.46%,175.35M,151.79M,2.20% / 3.40,3.34M,343.60,270.13 - 405.31,-25.41%,11.91%,54.79,0.62,982.40K,"321,753",0.36%,0.09%,4.61%,-11.68%,-14.33%,7.89%,0.47,5.86,1.74% 1.82%,300.87,302.30,0.48%
PSX,S&P 500,45.98B,11.01B,169.99B,62.51,13.25,4.20,4.23%,13000,Yes,Yes,2.30,4.33,7.65,0.14,0.27,1.59,7.50,6.74,1.20,1.40,0.58,0.56,-1.69%,22.93,12.98,3.46,683.90%,-12.68%,30.30%,38.30%,10.60%,23.50%,37.50%,Jan 31 BMO,-1.61%,0.20%,0.72%,73.50%,-1.74%,15.90%,42.40%,19.90%,11.80%,5.60%,6.50%,16.60%,5.60%,471.86M,461.58M,2.06% / 3.00,9.50M,124.08,73.85 - 113.53,-10.32%,37.87%,47.24,1.48,3.17M,"2,465,237",-3.78%,-0.45%,-1.23%,17.95%,20.76%,-2.18%,1.38,3.36,2.91% 2.86%,99.31,101.82,2.52%
PTC,S&P 500,14.49B,342.00M,1.94B,20.37,3.28,-,-,6503,Yes,Yes,2.00,42.43,23.41,3.27,7.46,6.02,37.37,31.96,1.40,1.40,0.56,0.56,-4.48%,2.89,5.24,1.13,-34.30%,19.67%,12.99%,118.50%,10.70%,1.80%,62.50%,Feb 01 AMC,-4.35%,1.00%,-62.65%,91.10%,-0.97%,7.40%,15.30%,10.00%,80.10%,25.20%,17.60%,0.00%,3.52%,117.82M,105.26M,1.43% / 2.12,1.51M,154.60,96.55 - 139.91,-12.10%,27.37%,36.75,0.67,712.66K,"253,593",-1.36%,-9.06%,1.42%,3.77%,17.74%,2.45%,1.19,2.84,1.91% 2.07%,122.66,122.98,0.26%
PVH,-,4.94B,452.50M,8.97B,74.43,7.29,0.15,0.19%,19000,Yes,Yes,2.40,12.50,8.70,-,0.55,1.06,10.81,-,0.70,1.40,0.47,0.44,-3.13%,6.30,9.06,1.67,183.00%,9.30%,-6.04%,14.30%,2.20%,-2.20%,-174.20%,-,-4.64%,0.50%,-1.92%,100.00%,-4.75%,3.80%,8.80%,13.80%,57.40%,4.40%,5.00%,1.80%,19.24%,64.80M,63.17M,3.23% / 2.17,2.04M,84.38,43.49 - 94.51,-17.19%,79.95%,41.21,0.75,941.74K,"372,390",-4.92%,-11.96%,9.26%,38.64%,12.85%,10.87%,2.10,2.52,2.75% 3.25%,78.82,78.26,-0.71%
PWR,S&P 500,22.95B,491.20M,17.07B,37.59,3.03,0.32,0.20%,47300,Yes,Yes,1.80,48.90,20.17,4.06,1.34,4.32,53.56,34.69,1.60,1.60,0.69,0.69,3.46%,3.32,8.05,1.15,-0.70%,14.08%,12.04%,16.30%,12.50%,12.60%,55.60%,Feb 23 BMO,8.07%,0.20%,-11.77%,94.40%,-1.43%,3.70%,9.40%,7.50%,14.80%,5.10%,2.90%,8.20%,16.40%,143.21M,141.17M,3.11% / 4.67,4.39M,177.87,106.33 - 168.75,-3.62%,52.96%,63.56,0.42,941.28K,"210,834",1.62%,5.91%,8.72%,14.19%,39.21%,14.13%,1.09,4.07,1.93% 2.52%,162.43,162.64,0.13%
PXD,S&P 500,48.01B,7.83B,24.38B,95.11,5.12,27.24,13.33%,2076,Yes,Yes,2.30,6.59,8.62,-,1.97,2.15,39.87,9.67,0.80,1.00,0.22,0.18,-2.30%,31.01,23.71,5.30,261.20%,-1.07%,-8.43%,92.10%,35.70%,-7.20%,100.70%,Feb 22 AMC,-6.83%,0.69%,0.04%,92.50%,-1.20%,21.50%,33.70%,28.80%,54.40%,41.70%,32.10%,78.20%,-9.53%,237.00M,233.31M,1.91% / 1.88,4.46M,266.92,186.34 - 268.64,-24.06%,9.49%,42.85,0.75,2.37M,"941,206",-0.63%,-7.78%,-7.81%,-9.41%,-5.48%,-8.72%,1.44,6.40,2.85% 3.14%,204.32,204.02,-0.15%
PYPL,"NDX, S&P 500",83.34B,2.42B,27.52B,17.80,9.89,-,-,29900,Yes,Yes,2.10,36.20,13.45,2.48,3.03,4.26,7.67,16.32,1.30,1.30,0.53,0.51,2.88%,2.10,5.64,1.10,-40.60%,15.46%,14.59%,5.20%,16.00%,6.70%,19.00%,Feb 09 AMC,1.40%,0.20%,1.18%,76.00%,1.42%,3.10%,12.00%,9.30%,42.30%,13.90%,8.80%,0.00%,-4.67%,1.14B,1.12B,1.88% / 1.56,21.13M,100.95,66.39 - 122.92,-36.24%,18.05%,54.99,1.27,13.55M,"9,060,508",5.76%,-5.84%,8.50%,-17.48%,-17.42%,10.04%,1.31,2.36,2.65% 2.94%,75.84,78.37,3.34%
QCOM,"NDX, S&P 500",135.33B,11.86B,42.96B,16.76,7.38,3.00,2.48%,51000,Yes,Yes,2.20,11.59,10.62,-,3.15,7.23,16.43,28.38,1.40,2.10,0.90,0.82,-5.17%,10.46,11.41,2.15,45.10%,21.83%,-7.24%,47.40%,14.70%,-11.60%,-32.50%,Feb 02 AMC,-3.36%,0.10%,-6.82%,74.10%,-0.30%,24.70%,71.10%,41.20%,57.20%,33.50%,27.40%,27.90%,-6.15%,1.12B,1.11B,0.95% / 1.34,10.49M,151.67,101.93 - 161.30,-25.78%,17.44%,38.50,0.69,7.85M,"2,870,263",-3.29%,-12.38%,-0.06%,-6.91%,-20.60%,8.89%,1.27,3.42,2.61% 2.59%,121.20,119.71,-1.23%
QRVO,S&P 500,9.98B,453.80M,4.10B,41.26,9.33,-,-,8900,Yes,Yes,2.90,23.79,23.37,-,2.43,2.46,10.86,10.52,2.30,3.70,0.00,0.49,-2.35%,4.26,4.33,0.13,46.50%,-24.73%,-1.84%,135.90%,8.90%,-33.30%,-108.10%,Feb 01 AMC,-1.11%,0.50%,-3.63%,89.40%,-3.26%,6.20%,10.50%,16.30%,42.70%,15.70%,11.10%,0.00%,3.44%,100.94M,99.28M,2.57% / 1.89,2.55M,107.43,75.38 - 133.07,-24.73%,32.87%,45.42,0.78,1.35M,"555,597",-1.07%,-7.74%,4.66%,11.21%,-22.44%,10.50%,1.46,3.07,2.75% 2.82%,101.33,100.16,-1.15%
RCL,S&P 500,17.93B,-2156.00M,8.84B,11.24,7.79,-,-,102500,Yes,Yes,2.20,-,12.07,-,2.03,6.42,9.26,-,0.30,0.40,8.15,7.43,-4.29%,-8.46,5.98,-0.72,59.50%,76.95%,-,-25.60%,0.10%,165.10%,63.20%,Feb 07 BMO,6.95%,0.20%,-74.18%,73.90%,1.79%,-6.40%,-64.10%,-3.30%,26.90%,-9.70%,-24.40%,-,36.42%,255.19M,219.97M,9.48% / 5.66,20.86M,78.64,31.09 - 87.68,-20.49%,124.22%,47.85,0.83,3.69M,"1,614,002",-3.14%,-5.81%,20.96%,59.19%,8.01%,41.03%,2.47,2.33,3.15% 3.18%,72.20,69.71,-3.45%
RE,S&P 500,14.99B,584.80M,12.52B,213.16,35.65,6.60,1.73%,2428,Yes,Yes,1.90,25.83,6.97,2.15,1.20,1.79,10.72,4.36,-,-,0.37,0.37,-1.66%,14.79,54.80,13.31,-56.40%,14.73%,12.00%,5.50%,13.60%,4.20%,12.80%,Feb 08 AMC,4.24%,0.50%,-7.12%,96.50%,0.23%,1.50%,6.80%,10.00%,-,9.20%,4.70%,43.90%,22.89%,39.60M,38.55M,1.05% / 1.42,0.41M,427.14,244.57 - 394.99,-5.07%,53.31%,50.97,0.66,285.23K,"98,723",-2.20%,5.58%,11.34%,33.24%,40.25%,13.19%,0.62,7.77,1.62% 2.13%,382.11,374.96,-1.87%
REG,S&P 500,10.53B,482.90M,1.22B,35.63,0.39,2.60,4.20%,445,Yes,Yes,2.40,22.04,28.78,-,8.60,1.74,158.30,55.06,-,-,0.61,0.61,-3.42%,2.81,2.15,0.50,32.80%,5.38%,-0.69%,24.50%,4.50%,5.90%,40.60%,Feb 09 AMC,-4.23%,0.40%,-3.07%,-,-1.60%,4.40%,7.90%,4.80%,71.70%,38.60%,39.40%,89.60%,-0.98%,171.12M,169.68M,1.54% / 2.81,2.62M,69.73,51.97 - 73.41,-16.11%,18.49%,38.27,0.28,931.51K,"137,275",-1.88%,-6.13%,-5.83%,-1.03%,-9.09%,-1.47%,1.17,1.25,1.86% 2.03%,61.96,61.58,-0.61%
REGN,"NDX, S&P 500",80.38B,4.34B,12.17B,212.21,71.77,-,-,11851,Yes,Yes,2.30,19.49,16.35,-,6.60,3.51,10.38,18.17,4.30,5.10,0.12,0.12,-0.37%,38.24,45.57,9.80,-46.90%,9.74%,-,23.80%,15.70%,-31.00%,-46.60%,Feb 03 BMO,1.76%,0.50%,-14.95%,89.50%,-0.34%,15.70%,20.50%,16.60%,87.20%,38.90%,35.60%,0.00%,9.81%,106.80M,104.32M,1.28% / 2.14,1.34M,835.13,538.01 - 800.48,-5.69%,40.33%,49.37,0.61,624.04K,"199,245",-1.81%,-1.94%,1.00%,26.58%,22.81%,4.64%,0.22,15.53,1.98% 2.00%,745.20,754.97,1.31%
RF,S&P 500,19.94B,2.15B,5.10B,15.33,12.25,0.80,3.68%,20073,Yes,Yes,2.30,9.56,8.52,-,3.91,1.42,1.78,8.49,-,-,0.16,0.16,-11.32%,2.28,2.55,0.68,-8.60%,0.24%,-0.88%,17.10%,5.10%,47.00%,62.00%,Jan 20 BMO,-9.46%,0.49%,-2.45%,77.50%,0.74%,1.30%,14.80%,23.40%,-,88.50%,42.10%,30.90%,-4.29%,932.00M,929.75M,2.87% / 3.64,26.66M,25.55,18.01 - 24.33,-15.02%,14.80%,25.03,1.45,7.32M,"5,608,248",-9.68%,-13.39%,-4.28%,-4.06%,-3.39%,-4.10%,1.24,0.58,2.71% 2.08%,21.76,20.67,-4.99%
RHI,S&P 500,8.60B,657.90M,7.24B,14.66,6.17,1.92,2.38%,16300,Yes,Yes,3.20,13.37,14.22,1.52,1.19,5.50,13.06,19.85,1.90,1.90,0.00,0.00,-1.66%,6.02,5.67,1.14,12.50%,14.58%,8.80%,17.70%,6.60%,-2.40%,-9.50%,Jan 26 AMC,0.68%,0.20%,-12.66%,98.20%,-3.03%,22.40%,44.00%,41.40%,42.70%,12.30%,9.10%,28.30%,1.83%,106.97M,105.49M,6.27% / 7.30,6.61M,73.50,65.40 - 122.29,-34.31%,22.83%,46.93,0.46,905.14K,"218,589",-0.36%,-5.39%,8.77%,3.85%,-25.17%,8.80%,1.33,1.86,1.76% 2.05%,80.56,80.33,-0.29%
RJF,S&P 500,22.66B,1.57B,11.52B,45.35,29.04,1.68,1.58%,17000,Yes,Yes,2.20,14.83,9.76,0.90,1.97,2.35,3.67,-,-,-,5.69,0.33,-7.74%,7.18,10.91,2.32,5.20%,12.28%,16.41%,19.40%,11.60%,7.40%,9.80%,Jan 25 AMC,-8.61%,0.40%,-5.00%,77.50%,0.70%,2.00%,16.90%,2.30%,93.20%,18.40%,13.60%,18.50%,-4.24%,214.70M,193.54M,1.96% / 2.97,3.78M,127.78,84.86 - 126.00,-19.65%,19.31%,29.93,1.37,1.27M,"918,045",-5.02%,-11.13%,-12.77%,-4.24%,8.91%,-5.25%,1.06,2.68,1.99% 2.10%,106.53,101.25,-4.96%
RL,S&P 500,7.64B,514.80M,6.43B,37.11,25.84,3.00,2.58%,13500,Yes,Yes,2.50,15.61,12.54,1.83,1.19,3.13,4.50,-,1.40,2.10,0.60,0.59,-2.72%,7.45,9.27,0.59,653.30%,14.98%,8.52%,54.20%,-1.30%,0.90%,9.30%,Feb 09 BMO,-1.93%,3.80%,-1.46%,-,-0.22%,7.20%,21.40%,14.20%,65.30%,10.90%,8.00%,38.80%,13.50%,66.50M,40.20M,13.26% / 5.69,5.33M,130.84,82.23 - 128.94,-10.09%,40.98%,41.66,0.31,937.23K,"154,903",-2.08%,-5.21%,4.61%,25.41%,14.77%,9.71%,1.41,2.91,1.99% 2.54%,116.24,115.93,-0.27%
RMD,S&P 500,30.94B,809.50M,3.76B,25.48,1.76,1.76,0.82%,8160,Yes,Yes,2.20,39.02,29.44,3.83,8.22,8.42,122.19,-,1.80,3.20,0.48,0.48,0.08%,5.50,7.29,1.60,63.60%,13.32%,10.20%,17.10%,11.60%,15.50%,11.20%,Jan 26 AMC,-1.20%,0.70%,-10.90%,67.40%,-0.39%,14.80%,23.40%,19.80%,56.70%,27.80%,21.50%,31.10%,-2.18%,146.70M,144.57M,0.73% / 1.66,1.06M,257.57,189.40 - 262.38,-17.95%,13.66%,46.88,0.38,637.25K,"126,479",-0.19%,-4.09%,-1.13%,-6.92%,-9.87%,3.44%,0.48,3.92,1.90% 1.70%,214.63,215.28,0.30%
ROK,S&P 500,34.01B,1.07B,7.88B,25.39,4.20,4.72,1.56%,26000,Yes,Yes,2.80,32.75,24.59,2.64,4.31,11.91,71.99,137.12,0.70,1.00,1.38,0.98,3.41%,9.23,12.29,2.57,-31.20%,9.01%,12.40%,4.60%,4.20%,6.70%,61.30%,Jan 26 BMO,7.90%,0.20%,-14.03%,82.60%,-1.33%,9.90%,40.20%,14.00%,40.20%,16.00%,13.60%,48.90%,23.49%,114.80M,114.65M,2.37% / 4.04,2.72M,279.40,190.08 - 307.28,-0.97%,60.09%,62.90,1.15,673.26K,"407,913",2.62%,5.15%,18.51%,25.22%,11.28%,18.14%,1.44,6.36,1.97% 1.89%,302.30,304.30,0.66%
ROL,S&P 500,17.07B,368.60M,2.70B,2.57,0.20,0.52,1.48%,17515,Yes,Yes,2.40,46.77,37.31,5.70,6.33,13.63,179.11,76.30,0.60,0.70,0.04,0.03,-0.77%,0.75,0.94,0.17,3.30%,12.19%,8.20%,14.10%,10.00%,10.20%,23.80%,Feb 15 AMC,-2.52%,44.10%,-6.75%,43.40%,1.81%,17.30%,31.30%,27.50%,51.50%,18.30%,13.70%,57.40%,-4.20%,492.35M,236.77M,4.41% / 7.22,10.44M,39.75,31.43 - 43.06,-18.35%,11.87%,43.56,0.33,1.45M,"251,145",0.57%,-1.60%,-10.33%,-2.22%,7.95%,-3.78%,0.65,0.59,1.48% 1.73%,35.03,35.16,0.37%
ROP,S&P 500,44.74B,985.60M,5.37B,151.44,7.52,2.73,0.64%,15800,Yes,Yes,2.20,46.00,24.54,5.06,8.33,2.80,56.43,103.51,0.60,0.70,0.42,0.37,0.68%,9.23,17.30,3.86,22.00%,6.98%,9.10%,4.80%,3.10%,13.90%,48.00%,Jan 27 BMO,-0.91%,0.30%,-11.64%,97.10%,-3.07%,17.80%,31.80%,5.40%,69.90%,28.40%,84.60%,5.80%,3.54%,105.90M,105.62M,0.90% / 2.11,0.95M,490.83,356.21 - 488.23,-12.06%,20.54%,50.82,0.81,450.17K,"191,437",0.64%,-1.19%,-1.08%,5.54%,-2.09%,-0.63%,1.04,7.66,1.60% 1.65%,424.50,429.37,1.15%
ROST,"NDX, S&P 500",37.08B,1.51B,18.70B,12.12,11.49,1.34,1.23%,100000,Yes,Yes,2.00,24.88,19.46,3.06,1.98,9.00,9.49,-,1.20,2.00,0.59,0.59,-5.36%,4.38,5.60,1.06,15.80%,11.41%,8.13%,11.50%,8.00%,-0.20%,-8.70%,Feb 28 AMC,-7.57%,0.10%,-5.69%,92.50%,-0.33%,11.10%,36.00%,27.60%,25.40%,10.70%,7.90%,28.10%,11.19%,342.12M,338.20M,1.34% / 2.01,4.53M,123.71,69.24 - 122.44,-12.61%,54.55%,26.47,0.55,2.26M,"648,887",-3.60%,-6.53%,-8.17%,16.14%,24.63%,-7.81%,0.99,2.33,1.89% 2.01%,109.04,107.01,-1.86%
RSG,S&P 500,40.51B,1.49B,13.51B,30.60,0.45,1.98,1.55%,40000,Yes,Yes,2.20,27.28,22.15,3.04,3.00,4.18,282.47,35.43,0.70,0.70,1.22,1.17,1.37%,4.69,5.78,1.15,16.10%,11.59%,8.97%,14.30%,6.10%,19.50%,11.30%,Feb 15 AMC,2.61%,0.12%,0.36%,95.80%,-0.15%,5.40%,15.90%,9.50%,39.30%,17.70%,11.00%,40.60%,-2.51%,316.50M,315.20M,0.68% / 1.49,2.14M,147.22,119.72 - 149.17,-12.89%,8.54%,57.42,0.58,1.44M,"439,433",0.63%,4.55%,-5.08%,-11.88%,5.55%,0.74%,0.66,2.03,1.26% 1.57%,127.98,129.94,1.53%
RTX,S&P 500,142.66B,5.22B,67.07B,49.55,4.25,2.20,2.26%,182000,Yes,Yes,2.20,27.73,16.74,2.07,2.13,1.97,22.94,81.43,0.80,1.10,0.44,0.42,-2.29%,3.51,5.82,1.12,35.90%,16.24%,13.40%,-11.80%,2.30%,6.20%,114.30%,Jan 24 BMO,-1.91%,0.10%,-0.95%,80.90%,-0.99%,3.30%,7.30%,4.50%,20.40%,8.10%,7.70%,61.30%,3.40%,1.47B,1.45B,0.52% / 1.66,7.58M,109.19,80.27 - 108.84,-10.64%,21.17%,40.42,0.74,4.56M,"1,772,977",-1.76%,-0.62%,-1.49%,11.22%,2.54%,-3.63%,1.06,1.65,1.61% 1.55%,97.40,97.26,-0.14%
SBAC,S&P 500,26.78B,461.40M,2.63B,-48.86,1.36,3.40,1.36%,1834,Yes,Yes,2.10,59.48,42.82,3.99,10.17,-,184.67,35.02,0.70,0.70,-,-,-8.40%,4.22,5.86,1.21,97.40%,15.66%,14.90%,30.40%,8.80%,15.30%,113.90%,Feb 21 AMC,-12.73%,0.40%,0.00%,97.20%,-0.21%,4.50%,-8.60%,11.30%,74.60%,35.10%,17.50%,66.50%,-17.71%,107.98M,106.59M,1.06% / 1.50,1.13M,326.88,236.20 - 379.99,-34.87%,4.79%,31.56,0.63,754.30K,"252,207",-3.83%,-15.56%,-14.26%,-24.35%,-23.82%,-11.70%,0.51,7.71,3.02% 2.58%,250.81,247.51,-1.32%
SBNY,S&P 500,6.27B,1.15B,2.58B,123.17,191.09,2.80,2.71%,1854,Yes,Yes,2.20,5.50,6.50,0.87,2.43,0.84,0.54,32.93,-,-,0.07,0.07,-21.16%,18.78,15.90,3.91,51.20%,8.56%,6.32%,15.40%,10.70%,75.70%,43.40%,Jan 17 BMO,-22.27%,0.20%,0.00%,96.10%,-1.81%,1.00%,14.60%,17.80%,-,86.20%,44.80%,11.80%,-39.64%,62.44M,62.00M,5.88% / 2.92,3.65M,152.00,101.83 - 328.88,-71.29%,-7.29%,25.20,6.85,1.25M,"4,508,984",-13.83%,-31.95%,-20.57%,-46.17%,-66.95%,-18.06%,1.66,5.90,4.51% 4.21%,103.35,94.41,-8.65%
SBUX,"NDX, S&P 500",116.07B,3.32B,32.91B,-7.55,2.92,2.12,2.07%,402000,Yes,Yes,2.50,35.57,25.13,1.97,3.53,-,35.06,-,0.50,0.80,-,-,-3.48%,2.88,4.08,0.64,-20.00%,20.11%,18.02%,7.50%,7.60%,8.20%,7.00%,Feb 02 AMC,-3.58%,0.10%,2.79%,72.10%,2.13%,11.70%,-38.20%,57.90%,25.80%,14.30%,10.10%,69.10%,10.95%,1.15B,1.15B,0.98% / 1.84,11.25M,111.93,68.39 - 110.83,-8.62%,48.08%,39.32,0.59,6.13M,"1,903,401",-1.68%,-5.20%,-0.79%,14.68%,20.57%,2.09%,0.95,1.92,1.81% 1.60%,102.50,101.28,-1.20%
SCHW,S&P 500,137.99B,6.63B,22.31B,14.43,22.20,1.00,1.31%,35300,Yes,Yes,2.20,21.74,13.91,1.18,6.19,5.28,3.43,-,-,-,15.04,0.77,-11.04%,3.50,5.48,0.99,24.00%,23.55%,18.46%,16.30%,20.00%,30.50%,27.70%,Jan 18 BMO,-12.28%,6.11%,-1.28%,88.50%,-0.59%,1.10%,21.30%,1.70%,93.10%,42.10%,29.70%,23.90%,-4.80%,1.86B,1.69B,0.63% / 1.35,10.66M,92.42,59.35 - 93.16,-24.71%,18.18%,28.48,3.38,7.91M,"14,118,695",-7.82%,-13.61%,-12.97%,-2.30%,-7.33%,-15.76%,0.93,2.18,2.30% 2.18%,76.20,70.14,-7.95%
SEDG,S&P 500,18.05B,93.80M,3.11B,38.87,18.43,-,-,4926,Yes,Yes,2.00,195.86,28.03,4.66,5.80,8.36,17.63,-,2.40,3.30,0.00,0.31,2.51%,1.66,11.59,1.94,-46.00%,27.16%,42.02%,-6.10%,38.60%,61.40%,-50.90%,Feb 13 AMC,5.09%,0.60%,-27.14%,90.30%,1.77%,2.40%,4.50%,2.90%,27.20%,5.30%,3.00%,0.00%,12.63%,55.98M,55.33M,4.46% / 2.39,2.47M,366.83,190.15 - 375.90,-14.18%,69.65%,53.48,0.57,1.03M,"308,379",-0.26%,0.99%,7.90%,3.60%,-1.92%,13.88%,1.44,14.76,3.66% 5.04%,324.93,322.58,-0.72%
SEE,S&P 500,6.79B,491.30M,5.64B,2.38,3.19,0.80,1.68%,16300,Yes,Yes,2.60,14.29,11.27,2.70,1.20,19.99,14.90,26.38,0.60,1.00,10.69,9.41,-4.28%,3.33,4.22,0.80,3.40%,15.01%,5.30%,44.80%,4.80%,-8.20%,-42.50%,Feb 09 BMO,-8.00%,0.60%,0.32%,93.90%,-6.61%,8.00%,206.50%,17.30%,31.40%,16.50%,8.70%,23.80%,-10.62%,144.70M,143.90M,1.60% / 2.15,2.31M,58.00,41.24 - 70.72,-33.06%,14.79%,35.31,0.37,1.07M,"211,669",-2.85%,-12.46%,-10.27%,-12.14%,-22.51%,-5.09%,1.26,1.11,1.75% 2.36%,47.57,47.34,-0.48%
SHW,S&P 500,55.79B,2.02B,22.15B,12.05,0.78,2.42,1.10%,64366,Yes,Yes,2.50,28.49,22.10,3.14,2.52,18.26,280.63,84.93,0.60,1.00,3.41,3.09,-2.71%,7.72,9.96,1.76,10.50%,17.23%,9.07%,13.60%,8.10%,9.80%,28.80%,Jan 26 BMO,-6.16%,0.10%,-0.21%,79.20%,-0.68%,9.10%,79.50%,15.10%,42.10%,11.80%,9.10%,30.60%,-6.77%,257.40M,237.16M,0.89% / 1.38,2.10M,249.89,195.24 - 285.00,-22.85%,12.62%,39.47,0.48,1.52M,"384,608",-1.85%,-7.78%,-13.25%,-7.87%,-8.33%,-7.35%,1.07,5.50,2.65% 2.22%,220.03,219.88,-0.07%
